ID,PartNumber,LeadTime,Specifications_Voltage,Specifications_Dimentions_Length,Specifications_Dimentions_Width,Specifications_Dimentions_Height,AlternateSupplier_ID,createdAt,createdBy,modifiedAt,modifiedBy
16736029-752a-4673-a285-ce3e4515c91f,70,29,830.21,30.47,943.85,516.44,12652249-63ee-4bc8-bd18-96681c90bea2,2000-12-20T00:00:00.000Z,createdBy.zvcy@example.net,2003-06-20T00:00:00.000Z,modifiedBy.zvcy@example.com
16736030-e1c5-4535-852d-a20cef422547,28,94,436.8,533.79,318.91,781.71,12652249-63ee-4bc8-bd18-96681c90bea2,2015-02-15T00:00:00.000Z,createdBy.zvcz@example.com,2013-09-27T00:00:00.000Z,modifiedBy.zvcz@example.com
4910486d-cf17-4025-86a3-d94165de8aaf,34,64,308.71,558.74,633.29,557.26,12652250-179d-4ea7-b3ff-38ce71a697f3,2011-01-22T00:00:00.000Z,createdBy.2x8ye@example.net,2005-05-20T00:00:00.000Z,modifiedBy.2x8ye@example.net
4910487d-a81f-4327-991d-1e3159b37f74,98,28,347.8,681.09,503.24,775.02,12652250-179d-4ea7-b3ff-38ce71a697f3,2010-04-19T00:00:00.000Z,createdBy.2x8yf@example.org,2017-05-08T00:00:00.000Z,modifiedBy.2x8yf@example.org
93905980-bc04-496a-a80f-3f07e65bbd19,47,53,849.65,389.52,474.87,354.12,12652251-4076-4456-8585-94bf767e0f44,2021-01-26T00:00:00.000Z,createdBy.5l9ty@example.org,2009-12-23T00:00:00.000Z,modifiedBy.5l9ty@example.net
9390599f-ecc2-4e52-acbf-7ff738e09d00,21,62,930.72,549.26,335.7,454.74,12652251-4076-4456-8585-94bf767e0f44,2014-06-29T00:00:00.000Z,createdBy.5l9tz@example.net,2003-11-24T00:00:00.000Z,modifiedBy.5l9tz@example.org
17091453-86b8-4231-bb25-2dfa447e9b94,94,79,236.87,14.78,86.1,874.09,12652252-0dac-4946-a116-fe4178cf871a,2002-08-11T00:00:00.000Z,createdBy.a6bul@example.net,2014-12-18T00:00:00.000Z,modifiedBy.a6bul@example.com
17091454-c49c-40e0-9f32-bc9abba81b0e,4,49,993.9,76.54,826.24,867.84,12652252-0dac-4946-a116-fe4178cf871a,2022-06-07T00:00:00.000Z,createdBy.a6bum@example.com,2007-12-30T00:00:00.000Z,modifiedBy.a6bum@example.net
17381998-0150-4961-9ae2-9852893390cf,41,34,228.97,430.51,843.74,942.85,12652253-4431-4644-be73-923640c7fba3,2022-06-21T00:00:00.000Z,createdBy.ack1a@example.com,2005-11-26T00:00:00.000Z,modifiedBy.ack1a@example.org
17381999-a2ed-4496-99f1-7e45f5e1f5de,72,78,150.19,35.88,774.57,725.17,12652253-4431-4644-be73-923640c7fba3,2008-10-31T00:00:00.000Z,createdBy.ack1b@example.org,2018-12-23T00:00:00.000Z,modifiedBy.ack1b@example.org
